Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

12:22:49 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:23:49 AM     all      6.83      0.00      5.82      0.04      0.00     87.32
12:24:49 AM     all      7.35      0.00      4.59      0.01      0.00     88.05
12:25:49 AM     all      2.60      0.00      3.21      0.00      0.00     94.19
12:26:49 AM     all      5.34      0.00      1.03      0.00      0.00     93.64
12:27:49 AM     all      5.04      0.00      1.29      0.00      0.00     93.67
12:28:49 AM     all      5.83      0.00      0.50      0.00      0.00     93.67
12:29:49 AM     all      5.05      0.00      1.29      0.00      0.00     93.66
12:30:49 AM     all      4.98      0.00      1.41      0.00      0.00     93.61
12:31:49 AM     all      6.01      0.00      0.26      0.00      0.00     93.72
12:32:49 AM     all      4.42      0.00      1.95      0.00      0.00     93.63
12:33:49 AM     all      4.37      0.00      2.02      0.00      0.00     93.61
