Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

12:11:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:12:53 AM     all     20.32      0.00      3.10      0.01      0.00     76.57
12:13:53 AM     all     10.29      0.00      1.67      0.00      0.00     88.04
12:14:53 AM     all      5.70      0.00      1.22      0.00      0.00     93.08
12:15:53 AM     all      5.76      0.00      1.03      0.00      0.00     93.21
12:16:53 AM     all      5.74      0.00      1.03      0.00      0.00     93.23
12:17:53 AM     all      4.83      0.00      2.12      0.00      0.00     93.05
12:18:53 AM     all      5.89      0.00      0.48      0.00      0.00     93.63
12:19:53 AM     all     30.50      0.00      4.30      0.00      0.00     65.19
12:20:53 AM     all     21.22      0.00      1.70      0.00      0.00     77.08
12:21:53 AM     all     12.29      0.00      0.33      0.00      0.00     87.38
