# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416265973;43775132;220749292;83.45;446416;17325832;207527872;76.04
axle;60;1416266033;41760532;222763892;84.21;446440;19338488;207518132;76.04
axle;60;1416266093;41757028;222767396;84.21;446460;19340408;207518132;76.04
axle;60;1416266153;41753944;222770480;84.22;446500;19342000;207518132;76.04
axle;60;1416266213;41749796;222774628;84.22;446516;19343916;207517940;76.04
axle;60;1416266273;39898816;224625608;84.92;446532;19346044;209408860;76.73
axle;60;1416266333;39901936;224622488;84.92;446540;19347484;209408860;76.73
axle;60;1416266393;31473880;233050544;88.10;446560;19357876;217818020;79.81
axle;60;1416266453;37524408;227000016;85.81;446576;19362996;211737436;77.59
axle;60;1416266513;37526408;226998016;85.81;446600;19365764;211737436;77.59
