# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416265973;0.00;397.87;54701.53;0.00;87338.74;0.00;0.00;0.00;0.00
axle;60;1416266033;0.00;43.95;52166.29;0.00;49156.50;0.00;0.00;0.00;0.00
axle;60;1416266093;0.00;22.07;14034.94;0.00;36073.72;0.00;0.00;0.00;0.00
axle;60;1416266153;0.00;27.65;4643.54;0.00;30858.71;0.00;0.00;0.00;0.00
axle;60;1416266213;0.00;25.22;4548.44;0.00;29898.98;0.00;0.00;0.00;0.00
axle;60;1416266273;0.00;30.54;6540.18;0.00;42971.95;0.00;0.00;0.00;0.00
axle;60;1416266333;0.00;33.27;400.88;0.00;6634.85;0.00;0.00;0.00;0.00
axle;60;1416266393;0.00;116.24;46661.78;0.00;27961.24;0.00;0.00;0.00;0.00
axle;60;1416266453;0.00;73.78;702.43;0.00;55090.24;0.00;0.00;0.00;0.00
axle;60;1416266513;0.00;70.96;401.30;0.00;6823.48;0.00;0.00;0.00;0.00
