# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;59;1416267453;21972344;242552080;91.69;448048;33306704;213423748;78.20
axle;60;1416267513;21254232;243270192;91.97;448132;33409980;213915944;78.38
axle;59;1416267573;21074904;243449520;92.03;448196;33372036;214129256;78.46
axle;60;1416267633;22420048;242104376;91.52;448256;33418892;212742136;77.95
axle;60;1416267693;19835776;244688648;92.50;448320;33422628;215284972;78.88
axle;59;1416267753;20591944;243932480;92.22;448392;34037512;213981428;78.41
axle;59;1416267813;21934728;242589696;91.71;448476;33485976;213210644;78.12
axle;60;1416267873;24136976;240387448;90.88;448524;33511640;210978816;77.31
axle;60;1416267933;22150772;242373652;91.63;448588;33563424;212932716;78.02
axle;60;1416267993;22022540;242501884;91.67;448640;33572532;212989856;78.04
axle;59;1416268053;22383688;242140736;91.54;448736;33614408;212633288;77.91
axle;60;1416268113;20478740;244045684;92.26;448792;33645728;214493344;78.59
