Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

12:36:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:37:33 AM     all     61.02      0.00     14.69      0.02      0.00     24.27
12:38:33 AM     all     62.30      0.00     15.43      0.00      0.00     22.27
12:39:33 AM     all     61.18      0.00     16.00      0.00      0.00     22.82
12:40:33 AM     all     66.28      0.00     13.06      0.00      0.00     20.66
12:41:33 AM     all     66.49      0.00     12.23      0.00      0.00     21.28
12:42:33 AM     all     63.59      0.00     13.93      0.00      0.00     22.48
12:43:33 AM     all     65.75      0.00     11.73      0.00      0.00     22.52
12:44:33 AM     all     67.34      0.00     12.42      0.00      0.00     20.24
12:45:33 AM     all     64.83      0.00     12.44      0.00      0.00     22.73
12:46:33 AM     all     63.49      0.00     13.78      0.00      0.00     22.73
12:47:33 AM     all     63.91      0.00     14.37      0.00      0.00     21.72
12:48:33 AM     all     59.38      0.00     14.43      0.00      0.00     26.18
